title,performer
Afternoon Arias,"Brian Bannatyne-Scott, Beth Taylor and friends"
Alice by Heart,London Academy of Music and Dramatic Art
All Shook Up,Sound Events Scotland Theatre
American Idiot,Sound Events Scotland
And They Played Shang-A-Lang,Edinburgh Little Theatre
Anne of Green Gables,Sussex Theatre Collective
Antigone 1989: A Town Hall Musical,Vine & Light / Rhymes with Purple
Apparently Ugly: A Stepsister Story,ERA Theatrical Productions
Avenue Q,Sound Events Scotland
The Ballad of Isobel Gunn,Melanie Gall Presents
Ballgowns and Bibshorts,Grace Lovelass
BeetleMania,Chevron Theatre
Best of the West End Musicals,Jaz Alice Music
'Beth,"Ashville, Harrogate"
The Big Bad Wolf,The Plandits
Bipolarcoaster,Amanda Andrews
Bliss,"Susan Edelstein Productions, ATG Productions and Gavin Kalin Productions"
The Bloody Ballad of Bette Davis,Piper Theatre Productions
The Bloopers! An Improvised Musical Biopic,We’re Gonna Be a Dad!
Bottom's Dream,Artist's Workshop
Brodie and Co,1552 Productions
Burke'n'Hare: Let the Bodies Hit the Floor,"Old'n'Dead Productions, Edinburgh Rep Company / PBH's Free Fringe"
Bush! The Musical A Brief History of Musical Theatre,Edinburgh Music Theatre
Britain’s Got Nonsense,Lgw Musicals
Broadside,April Alsup Productions
Broadway Belters,Curtain Up Productions Ltd
Carnegie,Edinburgh Little Theatre
Carrie: The Musical,Edinburgh University Footlights
Cavalleria Rusticana / Pagliacci,Aria Alba – Opera For All
Charles II: Living Libido Loca,"Old'n'Dead Productions, Edinburgh Rep Company / PBH's Free Fringe"
Charming! The Musical,Grownup Playhouse
A Chorus Line,Edinburgh Little Theatre
Chunxiang's Schoolroom Prank,Jingkun Chinese Arts
Cleo,Daisy Chain Media Management (New Zealand)
Codetta,Kismet
Come From Away,Captivate Theatre
Come From Away,Viva Arts and Community Group
Crapp's River,Sacred Heart University Repertory Theatre Company
Cricket The Freebugs,The Freebugs
Cry-Baby the Musical,Charter Oak High School
Dear Evan Hansen,Captivate Theatre
Disenchanted! The Hit Musical,The Production Garden presents The Lichfield Garrick Production
Disney's Frozen The Musical,Forth Children's Theatre
Doing Time with Lavinia,"Poppa Productions (New York, USA)"
Dune! The Musical,Dan Collins / PBH's Free Fringe
Dystopia 26: The Rock Opera,Beldon Haigh
Earth to Squiggy: A Lenny and The Squigtones Musical,Natalie Lander and Alex Ellis
Edinburgh Days,Belt Of Celt
Elizabeth I: Regina Vagina,"Edinburgh Rep Company,Old'n'Dead Productions.Erstwhile Media / PBH's Free Fringe"
Endometriosis: The Musical,Ripped Nylons Productions
Escape Room: The Musical,Grownup Playhouse
Fantasy World Adventures Mega Park! The Musical,FWAMP! Theatre Company
The First 8,Daisy Chain Media Management (New Zealand)
Flesh,Softplanet Productions
Fool's Goldmine,Stacie Burrows
Footloose: Youth Edition,Cup and Dagger
Frames,"Jon Andrew Franklin Entertainment (Seattle, USA)"
FUCCBOIS: LIVE IN CONCERT,House of Oz and Soft Tread Enterprises
Game Theory,London Academy of Music and Dramatic Art
Girlhood in the Bathroom,Girlhood Productions
GIRLZ,Meon Productions
Grimm AF,Baby Wants Candy
Hamlet: The Musical,Dancing Salmon Productions
HDMT Presents Dare to Dream JR,HDMT
Heated Rivalry: The Musical Parody!,Quick and Funny Musicals / Rhymes with Purple
Helen Shapiro Walkin' Back,Kingdom Theatre Company
Heracles: Of Men and Beasts,The Barden Party
Herstory in History,Fu Studio
High School Musical,Captivate Theatre
Hole!,American Sing-Song (ASS)
Honk! JR,Captivate Theatre
How To Fix A Fairytale,Papaver Productions
Imagine,BYU Young Ambassadors
Into the Woods,Captivate Theatre
Introductions,Marnie and Martin Productions
John Logie Baird – The Musical,Robin Cairns
Keaomelemele,Kamehameha Schools Hawai'i
Kevin! [The Musical],Kevin! [The Musical] Company
Knight's Dream,Muchadoaboutmusicals
The Lady Prince Consort,Asian Arts Global with Anqing Zaifen Huangmei Opera Theatre
The Last Five Years,SCT Encore
Legally Blonde JR,Denver School of the Arts Theatre Department
Legendary,"Cheeyang Ng / Everything is Maya, Communal Practice, Jennifer Leigh"
Les Misérables School Edition,Captivate Theatre
Lisa! The Mona Lisa Musical,We’re Gonna Be a Dad!
Little Pink Dress,"Joey Jennings (New York, USA)"
Little Shop of Horrors,Sound Events Scotland
Liu Ling Zui (Old Drunken Dream),China Coal Mine Art Troupe
Midnight Train to Nowhere,Cambridge University Musical Theatre Society
Miscast Sondheim,LAMDA in association with LIVEWIRE Prods
Lost the Plot: An Improvised Musical,Lost Improv
Marvelous Wonderettes '58,Petitcodiac Regional School
Matilda Junior,Captivate Theatre
The Meeples: XXX,Artist's Workshop
Mother Earth,OddSock Theatre
Mountains and Seas: A Mandarin Rock Musical,NTNUGIPA
Moving On: A New Musical,Happy Sad Productions
Mulan,"Changping School,"
A Murder Mystery Musical – The Detective's Demise,Grownup Playhouse
MUSE: The Shakespeare Mayhem Musical,Muse
Music Murder By...,Jessica Welsh and Wikus van der Hoven
Nearlyweds – The Musical,Jaz Alice Music
Neon Coven,KZ creative collective
Newsies JR,Captivate Theatre
Next to Normal,Bare Productions
A Night at the Musicals,Exeter Spotlights
Noteworthy: The Made-Up Musical,Noteworthy Improv
Nuns of Fury!,Rocket Whip Productions
On Some Far Shore,Cross Keys Productions
Opera Gala Concert,"Fife Opera with special guest Beth Taylor, Mezzo Soprano"
Orpheus: A New Musical,Yorkshire CREATE
Our Seventh String,Paperfolk Theatre
Penelope,Grace McLean
The Perfect Match,Matchstick Productions
The Pillow Dream,Jingkun Chinese Arts
Possessive! The Musical!,Wasatch Theater Company
Princess Diana: The Musical,Fringe Classics
The Real Housewives of the Zombie Apocalypse,Clydebuilt Theatre Company
The Real Kyle McCarren,Avalon
Rent,Edinburgh University Savoy Opera Group
Salt and Light,The LAMPS Collective
School of Rock,Encore Stars Academy (Scotland)
Shall We Dance? The Golden Years,SFA School of Theatre and Dance
"Shanghai Encore! No Script, No Net, No Regrets!",Shangai Encore!
Shantify,Evolution Productions and Jo Parsons
The Shocking Truth About Flat Earth,Wolverhampton Grand Theatre
Shrek the Musical JR,The Talentz
The Song Is Ended... But the Melody Lingers On,Ensemble
The Spongebob Musical: Youth Edition,Captivate Theatre
Spraywatch: A Beautiful Rescue,Low Fat Productions
Spring Awakening,KGS Theatre Company
The Spy Who Came in From the Park,Five Days More Production Team
Stageflight,Everybody Sing
A Star Power State of Mind,Star Power Performing Arts Limited
Sunshine on Leith,Captivate Theatre
Supernova,Liza Dealey-Thomason
Swing Gum,Martin’s Tap Dance Company
Tabletop Role-Playing Game: The Musical,The Natural Ones
The Tears of Nerakhis,Studio Platero
Techies,In The Fringe
Texas Annie: The Legend of the Moan Ranger,Plays for Progress
This Little Thing of Ours,MB Musicals
"Tick, Tick... Boom!",Midnight Sun Theatre
To Broadway and Back Again,The Bohemians Lyric Opera Company
Trains in the Night,Maiden Mother Moan
Trial by Jury,University of St Andrews Gilbert and Sullivan Society
Trunk Songs,Maria DiFabbio
Twelfth Night – Karaoke Era,Rare Studio Liverpool
Under the Influence,The Gilbert Twins and Speakerphone Productions
"Unheard Voices, Unbroken Spirits",TAME
Up Til Now,Dandelion Productions
VOTE: The Musical,VOTE: The Company
Warriors: A Scottish Musical,Firefight Productions in association with Forces at the Fringe (Scotland)
The Wedding Singer,Braw Venues
What's a Hen to Do,Sweet Nothings
Who We Are Now,Thaddeus Buttrey
Win Loss Draw,Chris Matthewman
Woody Sez,Underbelly and Woodrow Theatricals
A World Apart,Frog in a Pot Productions
You Never Know: A Song Cycle,Laura Sofia Productions
Zombie Prom,Weehawken High School Theater
Address to a Haggis,The Haggis Box /
ADEY,Bethlehem Wolday-Myers / RED SEA POETRY
Adorable Comedians Performing Funny Poetry and Telling Lovely Stories,Steve McLean / PBH's Free Fringe
Alice Hawkins – Working Class Suffragette,Great-Grandson Peter Barratt
Andy Macleod's Soho Days and Camden Nights,Andy MacLeod
The Art of Not Letting Go,Richard Thomson / Free Festival
Attila the Stockbroker,Attila the Stockbroker / PBH’s Free Fringe
An Audience with Marvin Herbert,Marvin Herbert
Ben Macpherson Does Poems at Adults,Ben Macpherson / PBH's Free Fringe
Brian Bilston: How to Lay an Egg with a Horse Inside,Brian Bilston
A Brief History of Northumbria (WIP),Raul Kohli
"Burke and Hare: Body Snatchers, Serial Killers, Ulstermen",Andrew Johnston
Connecting in a Connected World,Scott McPherson / Free Festival
Echoes of Self,Yzaura
A Cosmologist's Guide To Life and Love,Dr Julian Mayers
Craig Chalmers: That's That One,Craig Chalmers / PBH's Free Fringe
Darren McGarvey: Performative Male,Darren McGarvey /
"The Dolphins Are Still Singing. Can You Hear Them? The Epic of Lee, Me and the Tree",Jill Karlin
The Eazy Club,C presents
Elvis in Chaos,Michael Anderson
Folklore of the Scottish Highlands,James MacDonald Reid
The Fringe Story,Tutti Events
"Hiding Behind the Mask: Jesters, Jokers and Clowns","Rosemary George (New York, USA)"
Iain Dale: All Talk with Baroness Gillian Shephard and Lord Robin Butler,Seabright Live
Iain Dale: All Talk with Baroness Jacqui Smith,Seabright Live
Iain Dale: All Talk with Jess Phillips MP,Seabright Live
Iain Dale: All Talk with Joanna Cherry KC,Seabright Live
Iain Dale: All Talk with Kemi Badenoch MP,Seabright Live
Iain Dale: All Talk with Kieran Maguire and Kevin Day,Seabright Live
"Iain Dale: All Talk with Matt Forde, Rosie Holt and Susie McCabe",Seabright Live
Iain Dale: All Talk with Nazanin Zaghari-Ratcliffe and Richard Ratcliffe,Seabright Live
Iain Dale: All Talk with Nicola Sturgeon,Seabright Live
Iain Dale: All Talk with Sarah Vine and Andrew Pierce,Seabright Live
Iain Dale: All Talk with Zack Polanski,Seabright Live
I'm The One Your Mother Warned You About,Mike Rophone
In Conversation with... Amanda Dwyer,Carnation Productions
"Iain Dale: All Talk with Sir John Curtice, Brian Taylor and Michael Crick",Seabright Live
Iain Dale: All Talk with Stephen Flynn MP,Seabright Live
Iain Dale: All Talk with Wes Streeting MP,Seabright Live
In Conversation with... Andy Burnham,Carnation Productions
In Conversation with... Bobby Bluebell,Carnation Productions
In Conversation with... Chris Brookmyre and Marissa Haetzman,Carnation Productions
In Conversation with... Gordon Strachan,Carnation Productions
In Conversation with... Ian Rankin,Carnation Productions
In Conversation with... Jackie Kay,Carnation Productions
In Conversation with... Jeremy Corbyn,Carnation Productions
In Conversation with... John Davidson,Carnation Productions
In Conversation with... Josie Long,Carnation Productions
In Conversation with... Mark Thomas,Carnation Productions
In Conversation with... Stuart Cosgrove and Tam Cowan,Carnation Productions
In Conversation with... Vittorio Angelone,Carnation Productions
Jim Smith: Work in Progress,Jim Smith
Let People Like You,Edalia Day / PBH's Free Fringe
The Life of Eric Liddell,Sue Caton
Life of Pie,31DaysofPizza.com
Loft Clearance,Eileen Mahony
Loud Poets,I Am Loud CIC
"Louis de Bernières: Poetry, Stories and Songs",Louis de Bernières
Love Light and Labels,Cognitive Behavioural Theatre / PBH's Free Fringe
The Making of Chariots of Fire,Tom McNab
Mariella Frostrup: Cracking the Menopause,Gilded Balloon
A Meditation on Memory,AARDVARK THEATRE CO
Mistakes on Maps,Tom Paper
The Naked Truth,Lynne Jones as Unconditional Possible Girl
Poems for People Who Don't Like Poetry,Sam Steele
The Provocateurs: A Disease by Any Other Name / Forget the Alzheimer’s Test?,The Provocateurs
The Provocateurs: A Disease by Any Other Name / It All Went Wrong at Legs,The Provocateurs
The Provocateurs: Age-Old Story / Molecular Matchmaking,The Provocateurs
The Provocateurs: AI and Economics / Forensic Jewellery,The Provocateurs
The Provocateurs: AI and Economics / Midwife Crones Fight Back,The Provocateurs
The Provocateurs: Artificial Wombs / Panic! at the Cortex,The Provocateurs
The Provocateurs: Brain Health Roulette / Satellites Destroy Privacy,The Provocateurs
The Provocateurs: Bridget Jones Meets the Existentialists / Forensic Jewellery,The Provocateurs
The Provocateurs: Ethical Innovators? / Satellites Destroy Privacy,The Provocateurs
The Provocateurs: Forget the Alzheimer’s Test? / Artificial Wombs,The Provocateurs
"The Provocateurs: Good Predictions, Good Decisions? / Galactic Archaeology",The Provocateurs
"The Provocateurs: Good Predictions, Good Decisions? / Human-Robot Uncanny Collision",The Provocateurs
The Provocateurs: Hard Drugs / When Superbugs Kill,The Provocateurs
The Provocateurs: Haven from Fascism? / Ms Information,The Provocateurs
The Provocateurs: Haven from Fascism? / Spermageddon,The Provocateurs
The Provocateurs: Horror Therapy / Ethical Innovators?,The Provocateurs
The Provocateurs: I Like Big Peaks / Hookers for Jesus,The Provocateurs
The Provocateurs: I Like Big Peaks / Pax Physica,The Provocateurs
The Provocateurs: It All Went Wrong at Legs / Age-Old Story,The Provocateurs
The Provocateurs: Memory Management / Breathe. Sleep. Wee.,The Provocateurs
The Provocateurs: Memory Management / Bridget Jones Meets the Existentialists,The Provocateurs
The Provocateurs: Midwife Crones Fight Back / When Superbugs Kill,The Provocateurs
The Provocateurs: Mini Brains / Birthing Bravery,The Provocateurs
The Provocateurs: Mini Brains / Women Can’t Be Doctors?,The Provocateurs
The Provocateurs: Mixed Signals / Breathe. Sleep. Wee.,The Provocateurs
The Provocateurs: Mixed Signals / Horror Therapy,The Provocateurs
The Provocateurs: Ms Information / This Dermatologist Recommends Sunshine,The Provocateurs
"The Provocateurs: No Booze, No Boogie? / What’s the Point of Trees?",The Provocateurs
"The Provocateurs: Performing Possibility / 200 Monks, 1 Dead Frog",The Provocateurs
"The Provocateurs: Performing Possibility / No Booze, No Boogie?",The Provocateurs
The Provocateurs: Resistance Is Not Futile / 999 WTF,The Provocateurs
The Provocateurs: Resistance Is Not Futile / Human-Robot Uncanny Collision,The Provocateurs
"The Provocateurs: Should You Trust Anyone? / 200 Monks, 1 Dead Frog",The Provocateurs
The Provocateurs: Superhero Porn / Hookers for Jesus,The Provocateurs
The Provocateurs: The Weakness of Vulnerability / Brain Health Roulette,The Provocateurs
The Provocateurs: The Weakness of Vulnerability / Should You Trust Anyone?,The Provocateurs
The Provocateurs: This Dermatologist Recommends Sunshine / Spermageddon,The Provocateurs
The Provocateurs: This Library Needs a DJ / Hard Drugs,The Provocateurs
The Provocateurs: This Library Needs a DJ / Superhero Porn,The Provocateurs
The Provocateurs: What’s the Point of Trees? / Pax Physica,The Provocateurs
The Provocateurs: When Silence Listens / Galactic Archaeology,The Provocateurs
The Provocateurs: When Silence Listens / Your Robot Bestie,The Provocateurs
The Provocateurs: Women Can’t Be Doctors? / Birthing Bravery,The Provocateurs
The Provocateurs: Your Mind's World / Molecular Matchmaking,The Provocateurs
The Provocateurs: Your Mind's World / Panic! at the Cortex,The Provocateurs
The Provocateurs: Your Robot Bestie / 999 WTF,The Provocateurs
Queer Folks' Tales,Turan Ali / Scottish Storytelling Centre
Sacred Arts Festival Poetry at Canongate Kirk: Young Religious Poets Competition Final,"Robert Crawford, Christine De Luca"
Sacred Arts Festival Poetry at Canonmills Church: The Shamrock and the Cross – Spectators Under Heaven,"Michael Daviot, Claire McDonald"
Sasha Graham's Ghost Stories and Tarot,Sasha Graham Tarot Diva
ScotlandsFest: A Scottish Football Odyssey,Archie Macpherson / Luath Press
ScotlandsFest: A Wee Bit Zen – When Less Is More,Alan Spence / Luath Press
"ScotlandsFest: Ancient Voices, Living Landscape – Scotland’s Geomythography",Stuart McHardy / Luath Press
ScotlandsFest: Art Without Borders – Demarco’s Europe,Richard Demarco and Roddy Martine / Luath Press
ScotlandsFest: Between the Stones: Scotland Through Outlander,"Willy Maley, Gillebrìde MacMillan and Lisa Kelly / Luath Press"
ScotlandsFest: Brave New Music – The Martyn Bennett Story,Gary West and BJ Stewart / Luath Press
ScotlandsFest: Choose Life Choose Leith – Trainspotting on Location,Tim Bell / Luath Press
ScotlandsFest: Donald Dewar – An Incomplete Legacy?,Mark Peel / Luath Press
ScotlandsFest: Farmyard Follies,Helen Percy / Luath Press
ScotlandsFest: Fortunes from Flesh – Scotland and Slavery,Kate Phillips / Luath Press
ScotlandsFest: Heel for Heel – Scottish Dance Fever,Cindy Gray / Luath Press
ScotlandsFest: In Search of Scottish Architecture,Roger Emmerson / Luath Press
ScotlandsFest: Iona with Love,Barbara Sellars / Luath Press
ScotlandsFest: No Scotland No Party!,Julie McNeill / Luath Press
